Model Name,GPU Type,Num GPUs,Batch Size,Input Token Length,Output Token Length,Avg Prefill Time (s),Avg Decode Time (s)
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,128,4,0.044109773635864255,0.07765393257141114
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,128,4,0.08596584796905518,0.08496029376983641
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,128,4,0.1687692642211914,0.10015329122543334
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,128,4,0.3448388934135437,0.13114132881164553
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,128,8,0.024577200412750244,0.16119498014450073
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,128,8,0.025698506832122804,0.16399213075637817
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,128,8,0.02812105417251587,0.16523786783218383
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,128,8,0.030791032314300536,0.16904829740524294
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,128,8,0.045277392864227294,0.17713615894317628
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,128,8,0.08787013292312622,0.1927362561225891
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,128,8,0.1725555658340454,0.22756671905517578
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,128,8,0.346630847454071,0.2968841552734375
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,128,16,0.024553513526916503,0.34498170614242557
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,128,16,0.025684499740600587,0.35086922645568847
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,128,16,0.02803640365600586,0.35338133573532104
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,128,16,0.030827510356903075,0.3606185793876648
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,128,16,0.04341597557067871,0.3758384108543396
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,128,16,0.08724277019500733,0.40805859565734864
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,128,16,0.1763076066970825,0.4793193936347962
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,128,16,0.3468735098838806,0.6161972641944886
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,128,32,0.02457113265991211,0.7135164141654968
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,128,32,0.025696516036987305,0.7252298831939697
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,128,32,0.02807208299636841,0.730408763885498
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,128,32,0.031486570835113525,0.745346188545227
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,128,32,0.04482744932174683,0.7745009779930114
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,128,32,0.08736751079559327,0.8491291284561158
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,128,32,0.17552645206451417,0.9917853593826294
