Cluster ID,Batch Size,nprobe,Retrieved Docs,Num Threads,Avg Retrieval Latency (s)
2,96,8,5,32,0.01602160096168518
2,104,8,5,32,0.020451804399490358
2,112,8,5,32,0.021255964040756227
2,120,8,5,32,0.02300282835960388
2,128,8,5,32,0.02110694408416748
2,136,8,5,32,0.022694674730300905
2,144,8,5,32,0.026484761238098144
2,152,8,5,32,0.026085836887359617
2,160,8,5,32,0.02710877776145935
3,1,8,5,32,0.004035265445709229
3,2,8,5,32,0.00420097827911377
3,4,8,5,32,0.00455438494682312
3,8,8,5,32,0.004454550743103028
3,16,8,5,32,0.004488757848739624
3,24,8,5,32,0.0053172242641448975
3,32,8,5,32,0.006157487630844116
3,40,8,5,32,0.009661904573440551
3,48,8,5,32,0.010399020910263061
3,56,8,5,32,0.010855642557144165
3,64,8,5,32,0.011163046360015869
3,72,8,5,32,0.0140406334400177
3,80,8,5,32,0.015163447856903076
3,88,8,5,32,0.015568902492523193
3,96,8,5,32,0.01586114525794983
3,104,8,5,32,0.019020953178405763
3,112,8,5,32,0.02048502802848816
3,120,8,5,32,0.02144187569618225
3,128,8,5,32,0.022089849710464477
3,136,8,5,32,0.024007725715637206
3,144,8,5,32,0.024985698461532594
3,152,8,5,32,0.025450700521469118
3,160,8,5,32,0.02582994818687439
4,1,8,5,32,0.002385169267654419
4,2,8,5,32,0.0028687357902526856
4,4,8,5,32,0.0030269241333007813
4,8,8,5,32,0.003261071443557739
4,16,8,5,32,0.0037058770656585695
4,24,8,5,32,0.004100927114486694
4,32,8,5,32,0.00451970100402832
4,40,8,5,32,0.006845293045043946
4,48,8,5,32,0.007321299314498902
4,56,8,5,32,0.0077219665050506595
4,64,8,5,32,0.008115501403808593
4,72,8,5,32,0.010153294801712036
4,80,8,5,32,0.011597170829772949
4,88,8,5,32,0.012872036695480347
4,96,8,5,32,0.014281997680664063
4,104,8,5,32,0.014518306255340577
4,112,8,5,32,0.017022926807403565
4,120,8,5,32,0.0177618670463562
4,128,8,5,32,0.01820747971534729
4,136,8,5,32,0.019289671182632445
4,144,8,5,32,0.02113023281097412
4,152,8,5,32,0.021859970092773438
4,160,8,5,32,0.021715285778045653
5,1,8,5,32,0.0032447564601898195
5,2,8,5,32,0.004140793085098266
5,4,8,5,32,0.005332276821136474
5,8,8,5,32,0.0063606655597686764
5,16,8,5,32,0.007116360664367676
5,24,8,5,32,0.007612382173538208
5,32,8,5,32,0.008209149837493896
5,40,8,5,32,0.012836579084396362
5,48,8,5,32,0.01374458074569702
5,56,8,5,32,0.014200234413146972
5,64,8,5,32,0.014389933347702026
5,72,8,5,32,0.01634178400039673
5,80,8,5,32,0.019056655168533325
5,88,8,5,32,0.019879382848739625
5,96,8,5,32,0.0210947322845459
5,104,8,5,32,0.024238847494125366
5,112,8,5,32,0.025507251024246214
5,120,8,5,32,0.02621851325035095
5,128,8,5,32,0.026401803493499756
5,136,8,5,32,0.03628841638565063
5,144,8,5,32,0.031193127632141115
5,152,8,5,32,0.03357002019882202
5,160,8,5,32,0.03370840072631836
6,1,8,5,32,0.003303593397140503
6,2,8,5,32,0.004427814483642578
6,4,8,5,32,0.003836069107055664
6,8,8,5,32,0.003966753482818604
6,16,8,5,32,0.003993872404098511
6,24,8,5,32,0.0042600417137146
6,32,8,5,32,0.006024116277694702
6,40,8,5,32,0.014234225749969482
6,48,8,5,32,0.013310416936874389
6,56,8,5,32,0.022038090229034423
6,64,8,5,32,0.024151070117950438
6,72,8,5,32,0.026512880325317383
6,80,8,5,32,0.028266763687133788
6,88,8,5,32,0.02501774787902832
6,96,8,5,32,0.013058096170425415
6,104,8,5,32,0.015027866363525391
6,112,8,5,32,0.015564595460891723
6,120,8,5,32,0.017049219608306885
6,128,8,5,32,0.01653945565223694
6,136,8,5,32,0.018071448802947997
6,144,8,5,32,0.01865663528442383
6,152,8,5,32,0.019982404708862304
6,160,8,5,32,0.02035112977027893
7,1,8,5,32,0.004061797857284546
7,2,8,5,32,0.004765185117721557
7,4,8,5,32,0.004707424640655517
7,8,8,5,32,0.005048006772994995
7,16,8,5,32,0.005383620262145996
7,24,8,5,32,0.005644502639770507
7,32,8,5,32,0.006079858541488648
7,40,8,5,32,0.008470627069473267
7,48,8,5,32,0.008660247325897217
7,56,8,5,32,0.009962286949157715
7,64,8,5,32,0.01064181089401245
7,72,8,5,32,0.013309397697448731
7,80,8,5,32,0.01455039381980896
7,88,8,5,32,0.015049486160278321
7,96,8,5,32,0.015218697786331177
7,104,8,5,32,0.017674529552459718
7,112,8,5,32,0.01852169871330261
7,120,8,5,32,0.019478650093078614
7,128,8,5,32,0.022476577758789064
7,136,8,5,32,0.023799461126327515
7,144,8,5,32,0.024799596071243286
7,152,8,5,32,0.02518936514854431
7,160,8,5,32,0.025725183486938478
8,1,8,5,32,0.003826591968536377
8,2,8,5,32,0.005473934412002564
8,4,8,5,32,0.004536935091018677
8,8,8,5,32,0.0050805222988128665
