Number of Clusters Searched,Sample nProbe,nProbe,Monolithic NDCG,Split NDCG,Cluster NDCG,Monolithic Recall,Split Recall,Cluster Recall
3,2,256,0.9308758554070701,0.3730165512639378,0.8093230637885926,0.9,0.26875,0.76875
3,4,128,0.8635789844221353,0.35964240971802985,0.8575448639399194,0.8125,0.25625000000000003,0.80625
3,4,256,0.9308758554070701,0.3730165512639378,0.8842739900292709,0.9,0.26875,0.84375
3,8,16,0.9308758554070701,0.2653899024955643,0.6766252536665368,0.9,0.19375,0.59375
3,8,32,0.9308758554070701,0.29327448609811935,0.7390434616824592,0.9,0.21250000000000002,0.6687500000000001
3,8,64,0.9308758554070701,0.3144719989277204,0.808695009715737,0.9,0.225,0.74375
3,8,128,0.8972274199146026,0.35964240971802985,0.8740959488528581,0.85625,0.25625000000000003,0.8250000000000001
3,8,256,0.9308758554070701,0.3730165512639378,0.9008250749422096,0.9,0.26875,0.8625
3,16,128,0.8635789844221353,0.35964240971802985,0.8993118283706423,0.8125,0.25625000000000003,0.85625
3,16,256,0.9308758554070701,0.3730165512639378,0.9301411131322543,0.9,0.26875,0.9
3,32,128,0.8635789844221353,0.35964240971802985,0.8993118283706423,0.8125,0.25625000000000003,0.85625
3,32,256,0.9308758554070701,0.3730165512639378,0.9301411131322543,0.9,0.26875,0.9
3,64,128,0.8635789844221353,0.35964240971802985,0.9087113652503032,0.8125,0.25625000000000003,0.86875
3,64,256,0.9308758554070701,0.3730165512639378,0.9477409673564366,0.9,0.26875,0.925
3,128,128,0.8635789844221353,0.35964240971802985,0.9087113652503032,0.8125,0.25625000000000003,0.86875
3,128,256,0.9308758554070701,0.3730165512639378,0.9477409673564366,0.9,0.26875,0.925
3,256,256,0.9308758554070701,0.3730165512639378,0.9482054446167606,0.9,0.26875,0.925
4,1,128,0.8635789844221353,0.4911601644630342,0.8352299235592564,0.8125,0.375,0.7875
4,1,256,0.9308758554070701,0.5098336842163423,0.8660592083208686,0.9,0.39375,0.83125
4,2,128,0.8635789844221353,0.4911601644630342,0.8988473511103183,0.8125,0.375,0.85625
4,2,256,0.9308758554070701,0.5098336842163423,0.9255764771996698,0.9,0.39375,0.89375
4,4,128,0.8635789844221353,0.4911601644630342,0.8822962661973796,0.8125,0.375,0.8375
4,4,256,0.9308758554070701,0.5098336842163423,0.909025392286731,0.9,0.39375,0.875
4,8,16,0.9308758554070701,0.35703662465765945,0.6766252536665368,0.9,0.275,0.59375
4,8,32,0.9308758554070701,0.40611872108981545,0.7390434616824592,0.9,0.3125,0.6687500000000001
4,8,64,0.9308758554070701,0.44460206110717093,0.808695009715737,0.9,0.3375,0.74375
4,8,128,0.8972274199146026,0.4911601644630342,0.8740959488528581,0.85625,0.375,0.8250000000000001
4,8,256,0.9308758554070701,0.5098336842163423,0.9008250749422096,0.9,0.39375,0.8625
4,16,128,0.8635789844221353,0.4911601644630342,0.9034119870429029,0.8125,0.375,0.8625
4,16,256,0.9308758554070701,0.5098336842163423,0.9342412718045151,0.9,0.39375,0.90625
4,32,128,0.8635789844221353,0.4911601644630342,0.9034119870429029,0.8125,0.375,0.8625
4,32,256,0.9308758554070701,0.5098336842163423,0.9342412718045151,0.9,0.39375,0.90625
4,64,128,0.8635789844221353,0.4911601644630342,0.9087113652503032,0.8125,0.375,0.86875
4,64,256,0.9308758554070701,0.5098336842163423,0.9477409673564366,0.9,0.39375,0.925
4,128,128,0.8635789844221353,0.4911601644630342,0.9087113652503032,0.8125,0.375,0.86875
4,128,256,0.9308758554070701,0.5098336842163423,0.9477409673564366,0.9,0.39375,0.925
4,256,256,0.9308758554070701,0.5098336842163423,0.9482054446167606,0.9,0.39375,0.925
5,1,128,0.8635789844221353,0.5742676460262977,0.8563456444047798,0.8125,0.4625,0.8125
5,1,256,0.9308758554070701,0.6153816601662825,0.8876394064267158,0.9,0.50625,0.85625
