Number of Searched Indices,Sample nProbe,Deep nProbe,Retrieved Docs,Num Threads,Avg Sample Search Time (s),Avg Deep Search Time (s),Avg Aggregation Time (s)
4,2,128,5,32,0.002736069262027681,0.059243962168693494,3.530830144882202e-05
4,2,256,5,32,0.0025654807686805252,0.11642148345708843,3.3952295780181885e-05
4,4,128,5,32,0.0041579827666282185,0.058443084359168965,3.565102815628052e-05
4,4,256,5,32,0.0037251487374305187,0.11348482221364971,3.358721733093262e-05
4,8,16,5,32,0.0057921707630157,0.007030494511127419,3.194063901901245e-05
4,8,32,5,32,0.007626205682754469,0.015303894877433737,3.377348184585571e-05
4,8,64,5,32,0.006509885191917369,0.02922783046960826,3.441423177719116e-05
4,8,128,5,32,0.006713092327117869,0.05951293557882305,3.4656375646591187e-05
4,8,256,5,32,0.006277028471231417,0.11957572028040882,3.355368971824646e-05
4,16,128,5,32,0.013732798397540994,0.05931333452463145,3.62396240234375e-05
4,16,256,5,32,0.0116886049509048,0.116380862891674,3.247708082199097e-05
4,32,128,5,32,0.025771461427211706,0.05724004656076427,3.587454557418823e-05
4,32,256,5,32,0.022007487714290574,0.11353059113025661,3.238767385482788e-05
4,64,128,5,32,0.050478324294090215,0.05204550176858897,3.5628676414489746e-05
4,64,256,5,32,0.04473225027322764,0.11228591203689571,3.193318843841553e-05
4,128,128,5,32,0.10442978888750072,0.04971531033515925,3.603100776672363e-05
4,128,256,5,32,0.08815749734640117,0.10151989012956615,3.1888484954833984e-05
4,256,256,5,32,0.18916361778974528,0.09913784265518184,3.254413604736328e-05
5,1,128,5,32,0.002190969884395553,0.06410975009202953,4.073232412338257e-05
5,1,256,5,32,0.0024157986044883203,0.11818392202258106,3.444775938987732e-05
5,2,128,5,32,0.002736069262027681,0.05620704591274257,3.746896982192993e-05
5,2,256,5,32,0.0025654807686805252,0.1128066889941692,3.476068377494812e-05
5,4,128,5,32,0.0041579827666282185,0.05669330060482021,3.7282705307006836e-05
5,4,256,5,32,0.0037251487374305187,0.11244510859251018,3.448501229286194e-05
5,8,16,5,32,0.0057921707630157,0.006982356309890703,3.223121166229248e-05
5,8,32,5,32,0.007626205682754469,0.014439426362514444,3.429502248764038e-05
5,8,64,5,32,0.006509885191917369,0.028534151613712252,3.451108932495117e-05
5,8,128,5,32,0.006713092327117869,0.058971375226974446,3.571435809135437e-05
5,8,256,5,32,0.006277028471231417,0.11734731495380397,3.419071435928345e-05
5,16,128,5,32,0.013732798397540994,0.062249086797237355,3.76775860786438e-05
5,16,256,5,32,0.0116886049509048,0.11827722936868662,3.316253423690796e-05
5,32,128,5,32,0.025771461427211706,0.05926094204187388,3.7364661693573e-05
5,32,256,5,32,0.022007487714290574,0.11547711491584772,3.299117088317871e-05
5,64,128,5,32,0.050478324294090215,0.05373191833496089,3.711134195327759e-05
5,64,256,5,32,0.04473225027322764,0.11223720014095302,3.316253423690796e-05
5,128,128,5,32,0.10442978888750072,0.05092720687389369,3.701448440551758e-05
5,128,256,5,32,0.08815749734640117,0.11170069873332973,3.3408403396606445e-05
5,256,256,5,32,0.18916361778974528,0.10126330703496929,3.3229589462280273e-05
6,1,128,5,32,0.002190969884395553,0.06828921288251871,3.974884748458862e-05
6,1,256,5,32,0.0024157986044883203,0.12966800853610036,3.5006552934646606e-05
6,2,128,5,32,0.002736069262027681,0.0632352009415626,3.859400749206543e-05
6,2,256,5,32,0.0025654807686805252,0.12327578663825986,3.538280725479126e-05
6,4,128,5,32,0.0041579827666282185,0.061450503766536664,3.8683414459228516e-05
6,4,256,5,32,0.0037251487374305187,0.12007948756217952,3.5237520933151245e-05
6,8,16,5,32,0.0057921707630157,0.007170997560024219,3.3602118492126465e-05
6,8,32,5,32,0.007626205682754469,0.014877364039421031,3.5740435123443604e-05
6,8,64,5,32,0.006509885191917369,0.028300590813159884,3.5993754863739014e-05
6,8,128,5,32,0.006713092327117869,0.05892431735992428,5.6046992540359355e-05
6,8,256,5,32,0.006277028471231417,0.11685620248317714,4.5515596866606934e-05
6,16,128,5,32,0.013732798397540994,0.0610221996903419,3.876537084579468e-05
6,16,256,5,32,0.0116886049509048,0.12036740034818645,3.375113010406494e-05
6,32,128,5,32,0.025771461427211706,0.05943572521209712,3.8117170333862305e-05
6,32,256,5,32,0.022007487714290574,0.11759983748197551,3.33935022354126e-05
6,64,128,5,32,0.050478324294090215,0.05589056015014644,3.8586556911468506e-05
6,64,256,5,32,0.04473225027322764,0.11384015530347819,3.3698976039886475e-05
6,128,128,5,32,0.10442978888750072,0.05353315919637676,3.816187381744385e-05
6,128,256,5,32,0.08815749734640117,0.11036429554224012,3.3058226108551025e-05
