Frequency,Cluster ID,Batch Size,nprobe,Retrieved Docs,Num Threads,Avg Retrieval Latency (s)
800,1,160,128,5,32,1.2434986340999603
800,2,1,128,5,32,0.19664653062820434
800,2,2,128,5,32,0.20605343222618103
800,2,4,128,5,32,0.2157515013217926
800,2,8,128,5,32,0.2236926829814911
800,2,16,128,5,32,0.23157575249671936
800,2,24,128,5,32,0.23722845196723938
800,2,32,128,5,32,0.24088739037513732
800,2,40,128,5,32,0.4292403769493103
800,2,48,128,5,32,0.43831257462501527
800,2,56,128,5,32,0.4454290902614593
800,2,64,128,5,32,0.45075993180274965
800,2,72,128,5,32,0.6344897818565368
800,2,80,128,5,32,0.6469123685359954
800,2,88,128,5,32,0.6548429691791534
800,2,96,128,5,32,0.6612316811084747
800,2,104,128,5,32,0.8383814537525177
800,2,112,128,5,32,0.8546296095848084
800,2,120,128,5,32,0.8627799487113953
800,2,128,128,5,32,0.8683321845531463
800,2,136,128,5,32,1.040550103187561
800,2,144,128,5,32,1.0561166429519653
800,2,152,128,5,32,1.0702276527881622
800,2,160,128,5,32,1.07406027674675
800,3,1,128,5,32,0.18919301986694337
800,3,2,128,5,32,0.19775089979171753
800,3,4,128,5,32,0.20506365418434144
800,3,8,128,5,32,0.2122125482559204
800,3,16,128,5,32,0.21790413737297057
800,3,24,128,5,32,0.22086833715438842
800,3,32,128,5,32,0.2236426818370819
800,3,40,128,5,32,0.40832396268844606
800,3,48,128,5,32,0.41857693672180174
800,3,56,128,5,32,0.422999472618103
800,3,64,128,5,32,0.42639766454696654
800,3,72,128,5,32,0.6051102793216705
800,3,80,128,5,32,0.6141451847553253
800,3,88,128,5,32,0.6201172077655792
800,3,96,128,5,32,0.6241631054878235
800,3,104,128,5,32,0.8007882273197174
800,3,112,128,5,32,0.8128989541530609
800,3,120,128,5,32,0.8177946102619171
800,3,128,128,5,32,0.8214680874347686
800,3,136,128,5,32,0.99470090508461
800,3,144,128,5,32,1.0060907065868379
800,3,152,128,5,32,1.014005527496338
800,3,160,128,5,32,1.0175697672367097
800,4,1,128,5,32,0.18057835578918457
800,4,2,128,5,32,0.18749599814414977
800,4,4,128,5,32,0.1944335186481476
800,4,8,128,5,32,0.20053640961647035
800,4,16,128,5,32,0.20656113624572753
800,4,24,128,5,32,0.20961593151092528
800,4,32,128,5,32,0.21323980927467345
800,4,40,128,5,32,0.38754129528999326
800,4,48,128,5,32,0.39795968890190125
800,4,56,128,5,32,0.39852956295013425
800,4,64,128,5,32,0.40275163531303404
800,4,72,128,5,32,0.5725218188762665
800,4,80,128,5,32,0.5808977329730988
800,4,88,128,5,32,0.586743928194046
800,4,96,128,5,32,0.5915284550189972
800,4,104,128,5,32,0.7555395007133484
800,4,112,128,5,32,0.76608806848526
800,4,120,128,5,32,0.7728329527378083
800,4,128,128,5,32,0.7765767681598663
800,4,136,128,5,32,0.9429167640209198
800,4,144,128,5,32,0.9511953711509704
800,4,152,128,5,32,0.9553988194465637
800,4,160,128,5,32,0.9620223295688629
800,5,1,128,5,32,0.23318147897720337
800,5,2,128,5,32,0.24272385239601135
800,5,4,128,5,32,0.25305702924728396
800,5,8,128,5,32,0.26076129913330076
800,5,16,128,5,32,0.26705037117004393
800,5,24,128,5,32,0.27100292325019837
800,5,32,128,5,32,0.2744611084461212
800,5,40,128,5,32,0.5004695379734039
800,5,48,128,5,32,0.5129411232471466
800,5,56,128,5,32,0.5184076595306396
800,5,64,128,5,32,0.5223667216300965
800,5,72,128,5,32,0.7430182063579559
800,5,80,128,5,32,0.7562660014629364
800,5,88,128,5,32,0.7610935199260712
800,5,96,128,5,32,0.7672469747066498
800,5,104,128,5,32,0.982437813282013
800,5,112,128,5,32,0.9979932701587677
800,5,120,128,5,32,1.0069301044940948
800,5,128,128,5,32,1.0086084616184234
800,5,136,128,5,32,1.2230941474437713
800,5,144,128,5,32,1.2373217713832856
800,5,152,128,5,32,1.2439993929862976
800,5,160,128,5,32,1.2511277604103088
800,6,1,128,5,32,0.16246531486511231
800,6,2,128,5,32,0.17288584709167482
