Cluster ID,Batch Size,nprobe,Retrieved Docs,Num Threads,Avg Retrieval Latency (s)
1,120,128,5,32,0.5806105542182922
1,128,128,5,32,0.5905706906318664
1,136,128,5,32,0.6818114602565766
1,144,128,5,32,0.6268752670288086
1,152,128,5,32,0.600770697593689
1,160,128,5,32,0.5906453669071198
2,1,128,5,32,0.056633529663085935
2,2,128,5,32,0.08420837163925171
2,4,128,5,32,0.08270235180854797
2,8,128,5,32,0.10665012717247009
2,16,128,5,32,0.094953693151474
2,24,128,5,32,0.10850665211677551
2,32,128,5,32,0.12340321302413941
2,40,128,5,32,0.1790088701248169
2,48,128,5,32,0.17964573383331298
2,56,128,5,32,0.19130136370658873
2,64,128,5,32,0.20733915209770204
2,72,128,5,32,0.2551554989814758
2,80,128,5,32,0.26602537631988527
2,88,128,5,32,0.280774929523468
2,96,128,5,32,0.3007054531574249
2,104,128,5,32,0.3545850527286529
2,112,128,5,32,0.3721202993392944
2,120,128,5,32,0.38419910430908205
2,128,128,5,32,0.39720993280410766
2,136,128,5,32,0.45047142028808596
2,144,128,5,32,0.46215970754623414
2,152,128,5,32,0.47987545013427735
2,160,128,5,32,0.4979108428955078
3,1,128,5,32,0.05230276346206665
3,2,128,5,32,0.08542994141578675
3,4,128,5,32,0.09122564196586609
3,8,128,5,32,0.09716492652893066
3,16,128,5,32,0.08552083492279053
3,24,128,5,32,0.0921474814414978
3,32,128,5,32,0.10502537488937377
3,40,128,5,32,0.17244628429412842
3,48,128,5,32,0.17466691374778748
3,56,128,5,32,0.18427610516548157
3,64,128,5,32,0.2029804253578186
3,72,128,5,32,0.2470574474334717
3,80,128,5,32,0.25833523631095884
3,88,128,5,32,0.27191805124282836
3,96,128,5,32,0.29434570789337156
3,104,128,5,32,0.3475288498401642
3,112,128,5,32,0.36096537232398984
3,120,128,5,32,0.37388496279716493
3,128,128,5,32,0.3868368864059448
3,136,128,5,32,0.44071010828018187
3,144,128,5,32,0.4606857109069824
3,152,128,5,32,0.4788300633430481
3,160,128,5,32,0.4959819221496582
4,1,128,5,32,0.049570326805114744
4,2,128,5,32,0.06578316688537597
4,4,128,5,32,0.08089057326316834
4,8,128,5,32,0.08916420698165893
4,16,128,5,32,0.08184677600860596
4,24,128,5,32,0.08552335739135743
4,32,128,5,32,0.09818042874336243
4,40,128,5,32,0.15533311605453493
4,48,128,5,32,0.1536049449443817
4,56,128,5,32,0.16681512355804443
4,64,128,5,32,0.18597252607345582
4,72,128,5,32,0.2343239438533783
4,80,128,5,32,0.24676698207855224
4,88,128,5,32,0.263395231962204
4,96,128,5,32,0.28908472299575805
4,104,128,5,32,0.3285819685459137
4,112,128,5,32,0.33234977841377256
4,120,128,5,32,0.3464098525047302
4,128,128,5,32,0.3650328254699707
4,136,128,5,32,0.40808254599571225
4,144,128,5,32,0.4180261492729187
4,152,128,5,32,0.4342062616348267
4,160,128,5,32,0.45130521297454834
5,1,128,5,32,0.059899051189422604
5,2,128,5,32,0.08848400354385376
5,4,128,5,32,0.09329918742179871
5,8,128,5,32,0.09827693581581115
5,16,128,5,32,0.10849585771560669
5,24,128,5,32,0.12890992403030396
5,32,128,5,32,0.15278619170188903
5,40,128,5,32,0.22365793466567993
5,48,128,5,32,0.22522644758224486
5,56,128,5,32,0.24793478727340698
5,64,128,5,32,0.2596413040161133
5,72,128,5,32,0.31527838230133054
5,80,128,5,32,0.32083903908729555
5,88,128,5,32,0.3360061705112457
5,96,128,5,32,0.3519333577156067
5,104,128,5,32,0.4134884428977966
5,112,128,5,32,0.42602320432662966
5,120,128,5,32,0.4424210107326508
5,128,128,5,32,0.4656648218631744
5,136,128,5,32,0.523316022157669
5,144,128,5,32,0.5415431153774262
5,152,128,5,32,0.5847470653057099
5,160,128,5,32,0.6122243082523346
6,1,128,5,32,0.04348580837249756
6,2,128,5,32,0.05040228486061096
6,4,128,5,32,0.06563117980957031
6,8,128,5,32,0.07984155297279358
6,16,128,5,32,0.07827810883522034
6,24,128,5,32,0.08407552003860473
6,32,128,5,32,0.09762841701507569
6,40,128,5,32,0.15182361125946045
6,48,128,5,32,0.1613772451877594
6,56,128,5,32,0.16894968509674071
6,64,128,5,32,0.18989742875099183
6,72,128,5,32,0.23303635954856872
6,80,128,5,32,0.24424299955368042
6,88,128,5,32,0.23222132444381713
6,96,128,5,32,0.25142000436782835
6,104,128,5,32,0.2953146111965179
6,112,128,5,32,0.30346725702285765
6,120,128,5,32,0.32631724238395693
6,128,128,5,32,0.3225898993015289
6,136,128,5,32,0.367578090429306
6,144,128,5,32,0.37344240307807924
6,152,128,5,32,0.3850789380073547
6,160,128,5,32,0.39936246156692506
7,1,128,5,32,0.045041379928588865
7,2,128,5,32,0.05678930878639221
7,4,128,5,32,0.0692087972164154
7,8,128,5,32,0.07930778980255127
7,16,128,5,32,0.0844347357749939
7,24,128,5,32,0.0917006802558899
7,32,128,5,32,0.11149253249168396
7,40,128,5,32,0.15906595468521117
7,48,128,5,32,0.16472699165344237
7,56,128,5,32,0.17429343461990357
7,64,128,5,32,0.18414278626441954
7,72,128,5,32,0.2247505497932434
7,80,128,5,32,0.2329010546207428
7,88,128,5,32,0.2446952450275421
7,96,128,5,32,0.26154810667037964
7,104,128,5,32,0.31114586114883425
7,112,128,5,32,0.3190684628486633
7,120,128,5,32,0.3267532956600189
7,128,128,5,32,0.34897977590560914
7,136,128,5,32,0.39288198709487915
7,144,128,5,32,0.3961300480365753
7,152,128,5,32,0.40931644558906555
7,160,128,5,32,0.4312621939182282
8,1,128,5,32,0.047699002027511594
8,2,128,5,32,0.08181037664413453
8,4,128,5,32,0.07395812153816222
8,8,128,5,32,0.07709361553192139
8,16,128,5,32,0.0839555311203003
8,24,128,5,32,0.09163344860076904
8,32,128,5,32,0.10964142084121704
8,40,128,5,32,0.16499415159225464
8,48,128,5,32,0.1672869050502777
8,56,128,5,32,0.17928374767303468
8,64,128,5,32,0.19060097336769105
8,72,128,5,32,0.2398910081386566
8,80,128,5,32,0.24718064308166504
8,88,128,5,32,0.2592344701290131
8,96,128,5,32,0.27794267058372496
8,104,128,5,32,0.32848709940910337
8,112,128,5,32,0.34090648412704466
8,120,128,5,32,0.34997525095939636
8,128,128,5,32,0.36782572031021116
8,136,128,5,32,0.42169976234436035
8,144,128,5,32,0.43023388266563417
8,152,128,5,32,0.435659841299057
8,160,128,5,32,0.4587744164466858
9,1,128,5,32,0.044939855337142946
9,2,128,5,32,0.049992573261260984
9,4,128,5,32,0.06591065406799317
9,8,128,5,32,0.08807644009590149
9,16,128,5,32,0.07559356927871703
9,24,128,5,32,0.08027373433113098
9,32,128,5,32,0.0911601722240448
9,40,128,5,32,0.14807969212532043
9,48,128,5,32,0.1495412516593933
9,56,128,5,32,0.15963808298110962
9,64,128,5,32,0.1691022038459778
9,72,128,5,32,0.21422540068626403
9,80,128,5,32,0.22233465909957886
9,88,128,5,32,0.23635758757591246
9,96,128,5,32,0.24414008021354675
9,104,128,5,32,0.2901254439353943
9,112,128,5,32,0.29828163743019104
9,120,128,5,32,0.3110060489177704
9,128,128,5,32,0.3216826093196869
9,136,128,5,32,0.36716500878334046
9,144,128,5,32,0.3738244390487671
9,152,128,5,32,0.38825679779052735
9,160,128,5,32,0.39920016169548034
